Latitude,Longitude
19.411812,-102.035709
19.412062,-102.036643
19.412098,-102.036756
19.412313,-102.037662
19.412325,-102.037729
19.412376,-102.037858
19.412444,-102.037994
19.412506,-102.038224
19.412639,-102.038678
19.412669,-102.038765
19.412855,-102.039592
19.41288,-102.039701
19.413072,-102.040579
19.413098,-102.040669
19.413305,-102.041498
19.413336,-102.041599
19.413655,-102.042806
19.413714,-102.043031
19.413864,-102.043536
19.413886,-102.043565
19.414214,-102.043509
19.414775,-102.043408
19.414962,-102.043372
19.415745,-102.043223
19.415964,-102.04318
19.416775,-102.043062
19.417077,-102.043019
19.417373,-102.04296
19.417444,-102.042911
19.417606,-102.042878
19.418079,-102.042803
19.41838,-102.042753
19.418541,-102.042724
19.418879,-102.042659
19.419084,-102.042626
19.41942,-102.042565
19.419492,-102.042551
19.419538,-102.042915
19.419583,-102.043236
19.419616,-102.043483
19.419745,-102.043686
19.419339,-102.044341
19.419147,-102.044661
19.419249,-102.044727
19.419291,-102.044869
19.419353,-102.045331
19.419363,-102.045489
19.419447,-102.046362
19.419468,-102.046543
19.419518,-102.046949
19.419526,-102.047051
19.41961,-102.047775
19.41962,-102.047891
19.419692,-102.048737
19.419741,-102.049143
19.419827,-102.049978
19.419863,-102.050244
19.419929,-102.051081
19.419959,-102.051297
19.42003,-102.051908
19.420042,-102.051975
19.420107,-102.051981
19.420159,-102.052022
19.4202,-102.052072
19.42024,-102.052116
19.420224,-102.052185
19.420206,-102.052242
19.420159,-102.05228
19.420099,-102.052308
19.420108,-102.052512
19.420133,-102.052713
19.420154,-102.053027
19.420178,-102.053164
19.420211,-102.053502
19.420272,-102.05401
19.420281,-102.054051
19.420055,-102.054096
19.419469,-102.054248
19.41928,-102.054298
19.418644,-102.054444
19.418401,-102.054552
19.418046,-102.054696
19.417667,-102.054822
19.417388,-102.054913
19.417344,-102.05494
19.41736,-102.05505
19.417578,-102.055849
19.417632,-102.056062
19.417825,-102.056741
19.417887,-102.056946
19.41794,-102.057132
19.418166,-102.057934
19.418226,-102.058153
19.418417,-102.058865
19.418711,-102.059877
19.418769,-102.060111
19.418999,-102.060917
19.419075,-102.061183
19.419191,-102.061557
19.419327,-102.062
19.419401,-102.062209
19.419593,-102.06283
19.419693,-102.063135
19.419468,-102.063236
19.419351,-102.063272
19.419253,-102.063318
19.418737,-102.063463
19.418606,-102.063505
19.417786,-102.063771
19.417635,-102.063818
19.416721,-102.064098
19.415929,-102.064361
19.415335,-102.064553
19.414803,-102.064745
19.414629,-102.064808
19.413861,-102.065024
19.413557,-102.065126
19.412839,-102.065366
19.41261,-102.065432
19.411838,-102.065706
19.411663,-102.065771
19.41118,-102.065954
19.410904,-102.066043
19.41056,-102.066143
19.410029,-102.06632
19.409631,-102.066456
19.409023,-102.066586
19.40859,-102.066692
19.408409,-102.066738
19.407896,-102.06682
19.407769,-102.066858
19.407338,-102.066931
19.407062,-102.066917
19.406584,-102.066821
19.406222,-102.066754
19.405939,-102.066672
19.405736,-102.066629
19.40535,-102.066536
19.405273,-102.066522
19.40524,-102.066517
19.405194,-102.066505
19.405165,-102.066492
19.405145,-102.066482
19.404902,-102.066528
19.404454,-102.066581
19.404108,-102.066648
19.403718,-102.066698
19.40345,-102.066748
19.403143,-102.066827
19.402992,-102.06689
19.402526,-102.067288
19.402331,-102.067508
19.40224,-102.067575
19.40184,-102.067723
19.401696,-102.0678
19.401431,-102.067948
19.401076,-102.068192
19.400887,-102.06831
19.40078,-102.068369
19.400586,-102.068407
19.400388,-102.068337
19.400267,-102.06827
19.400125,-102.068205
19.400039,-102.068176
19.399948,-102.06813
19.399842,-102.068117
19.399655,-102.068117
19.399409,-102.068173
19.399161,-102.068195
19.399133,-102.067855
19.39907,-102.067493
19.399028,-102.067087
19.399022,-102.067045
19.398816,-102.066623
19.398574,-102.066121
19.398313,-102.065599
19.398275,-102.065548
19.398601,-102.065362
19.399029,-102.065143
19.399396,-102.064949
19.399436,-102.064925
19.399497,-102.065015
19.399573,-102.065085
19.399632,-102.065145
19.399727,-102.065169
19.399803,-102.065177
19.399877,-102.065149
19.400008,-102.065035
19.400209,-102.06486
19.400438,-102.064645
19.400497,-102.06459
19.400791,-102.06482
19.401121,-102.065118
19.401455,-102.065426
19.401804,-102.065729
19.402176,-102.066046
19.402507,-102.066358
19.402945,-102.066746
19.402999,-102.066787
19.403132,-102.066746
19.403302,-102.066668
19.403436,-102.066643
19.403761,-102.0666
19.404075,-102.066554
19.404341,-102.06652
19.404669,-102.066475
19.404978,-102.066436
19.405121,-102.066423
19.405145,-102.066391
19.405146,-102.066365
19.405172,-102.066337
19.405218,-102.066317
19.405274,-102.066317
19.405306,-102.066348
19.405331,-102.066376
19.405573,-102.066513
19.405773,-102.066567
19.40597,-102.066614
19.406238,-102.066683
19.406696,-102.066774
19.407034,-102.066832
19.407254,-102.066836
19.407556,-102.066813
19.407725,-102.066782
19.408005,-102.066732
19.408236,-102.066679
19.408699,-102.066565
19.408887,-102.066524
19.409164,-102.066461
19.409638,-102.066347
19.410266,-102.066154
19.410882,-102.065958
19.411397,-102.065786
19.411696,-102.065688
19.41176,-102.065681
19.411823,-102.065884
19.411903,-102.066195
19.412026,-102.066627
19.412069,-102.066756
19.412494,-102.066604
19.41298,-102.066439
19.413199,-102.066377
19.413925,-102.066135
19.414139,-102.066061
19.414898,-102.06581
19.41514,-102.065733
19.415912,-102.065497
19.41613,-102.065431
19.416865,-102.065184
19.417297,-102.06505
19.417912,-102.064854
19.418161,-102.064771
19.418782,-102.064575
19.419137,-102.064468
19.419898,-102.064229
19.4202,-102.064118
19.420899,-102.063919
19.420984,-102.063887
19.420879,-102.063436
19.420735,-102.062897
19.42055,-102.06228
19.420433,-102.061884
19.420258,-102.06136
19.420099,-102.060857
19.420033,-102.060648
19.419786,-102.059736
19.419701,-102.059446
19.419491,-102.058718
19.419247,-102.057853
19.419195,-102.057683
19.419015,-102.057103
19.418924,-102.056778
19.418882,-102.056635
19.418666,-102.055837
19.418617,-102.055648
19.418691,-102.055601
19.418623,-102.055251
19.418487,-102.054696
19.418432,-102.054415
19.41829,-102.053726
19.418264,-102.053517
19.418221,-102.053023
19.418183,-102.052805
19.418172,-102.05265
19.418139,-102.052334
19.418075,-102.051848
19.418063,-102.051718
19.418015,-102.051203
19.417998,-102.050904
19.417996,-102.050848
19.417944,-102.050811
19.417919,-102.050797
19.417888,-102.050776
19.417867,-102.050732
19.41786,-102.050685
19.417868,-102.050619
19.417898,-102.050555
19.417963,-102.05052
19.417974,-102.050398
19.417954,-102.050144
19.417949,-102.049798
19.417906,-102.049387
19.417876,-102.049088
19.417834,-102.048549
19.417804,-102.048367
19.417796,-102.048182
19.417783,-102.047896
19.417735,-102.047454
19.41769,-102.047023
19.417673,-102.0469
19.417661,-102.046799
19.417635,-102.046748
19.417622,-102.046657
19.417619,-102.046579
19.41757,-102.046489
19.41752,-102.046365
19.417458,-102.045997
19.417417,-102.045678
19.41737,-102.045399
19.417254,-102.044665
19.417233,-102.044523
19.417166,-102.044157
19.417086,-102.043705
19.41699,-102.043203
19.416965,-102.04308
19.41688,-102.043092
19.4166,-102.043137
19.416128,-102.0432
19.41589,-102.043238
19.415808,-102.043251
19.415365,-102.043341
19.4149,-102.043434
19.414809,-102.043451
19.414322,-102.043538
19.413904,-102.043611
19.413858,-102.043625
19.413816,-102.04353
19.413774,-102.043389
19.413698,-102.043106
19.413649,-102.042939
19.413605,-102.042798
19.413479,-102.042334
19.413421,-102.042098
19.413303,-102.041665
19.413157,-102.041093
19.413064,-102.040752
19.412943,-102.040223
19.412836,-102.039732
19.412799,-102.039561
19.412619,-102.038764
19.412586,-102.038666
19.412403,-102.038022
19.412337,-102.037873
19.41226,-102.03768
19.412162,-102.037264
19.41209,-102.036948
19.41203,-102.036753
19.411931,-102.036364
19.411765,-102.035734
