Latitude,Longitude
19.402289,-102.027157
19.402481,-102.027031
19.402676,-102.026911
19.402921,-102.02677
19.403147,-102.026619
19.403471,-102.026435
19.403845,-102.026215
19.403994,-102.026159
19.404414,-102.026945
19.404658,-102.027379
19.404926,-102.027842
19.405054,-102.028087
19.405219,-102.028399
19.405382,-102.028719
19.405483,-102.028869
19.405653,-102.029176
19.405817,-102.029482
19.405838,-102.029521
19.406221,-102.029291
19.406676,-102.028986
19.40704,-102.028733
19.407681,-102.028356
19.408026,-102.028116
19.408453,-102.02785
19.408754,-102.027633
19.409351,-102.027228
19.409663,-102.027048
19.410027,-102.026801
19.41054,-102.026439
19.411038,-102.026143
19.411385,-102.025909
19.41176,-102.025722
19.411929,-102.025662
19.412153,-102.026022
19.412429,-102.026476
19.412477,-102.026551
19.412743,-102.026977
19.4129,-102.027231
19.413091,-102.027555
19.413147,-102.027609
19.413407,-102.027844
19.413686,-102.028085
19.414072,-102.028417
19.414206,-102.028541
19.414331,-102.02867
19.414552,-102.028886
19.414829,-102.029173
19.415176,-102.029514
19.415376,-102.029727
19.4156,-102.029991
19.415679,-102.03009
19.415748,-102.030243
19.415825,-102.030474
19.415934,-102.030793
19.416044,-102.031179
19.416154,-102.031527
19.416265,-102.031902
19.416289,-102.03198
19.416513,-102.032716
19.416555,-102.032849
19.41658,-102.03295
19.416644,-102.033219
19.416682,-102.03343
19.416671,-102.033606
19.416593,-102.033942
19.416531,-102.034145
19.416282,-102.034923
19.416212,-102.035165
19.416193,-102.03523
19.416178,-102.035391
19.416184,-102.035632
19.416202,-102.036003
19.416189,-102.03621
19.416193,-102.036436
19.416208,-102.036831
19.416207,-102.037198
19.416215,-102.037224
19.416361,-102.037216
19.416515,-102.037204
19.416684,-102.037181
19.4172,-102.037104
19.417504,-102.037059
19.417639,-102.037027
19.418195,-102.036923
19.418528,-102.036859
19.418632,-102.037381
19.418719,-102.037942
19.418738,-102.038057
19.4189,-102.038965
19.418945,-102.0392
19.419044,-102.039866
19.419091,-102.040188
19.419125,-102.04033
19.419194,-102.040753
19.419275,-102.041276
19.419305,-102.041411
19.419379,-102.041788
19.419415,-102.041975
19.419526,-102.042742
19.419557,-102.043065
19.419592,-102.043312
19.419611,-102.043461
19.419747,-102.043687
19.419502,-102.044083
19.419302,-102.044381
19.419149,-102.044666
19.418871,-102.045076
19.418598,-102.045489
19.418339,-102.045949
19.418096,-102.046321
19.418009,-102.046469
19.417949,-102.046556
19.417865,-102.0466
19.417777,-102.046616
19.417639,-102.046585
19.417583,-102.046506
19.417524,-102.046367
19.417436,-102.046328
19.417326,-102.046272
19.417195,-102.046222
19.417049,-102.04622
19.416858,-102.046256
19.416459,-102.046367
19.416059,-102.046481
19.41539,-102.046678
19.415146,-102.046755
19.414608,-102.046889
19.414203,-102.046994
19.413547,-102.047161
19.41299,-102.04731
19.412482,-102.047447
19.412002,-102.047578
19.411699,-102.047665
19.411182,-102.047812
19.410906,-102.047881
19.410478,-102.047991
19.410123,-102.048079
19.409597,-102.048226
19.409144,-102.048351
19.408943,-102.048428
19.408621,-102.04849
19.408044,-102.048662
19.407647,-102.048762
19.406964,-102.048942
19.40666,-102.049021
19.406375,-102.049105
19.405816,-102.049276
19.405245,-102.049446
19.405164,-102.04946
19.405178,-102.049555
19.40538,-102.050288
19.405422,-102.050436
19.405648,-102.051195
19.405785,-102.051741
19.405952,-102.05234
19.406189,-102.053166
19.406346,-102.053744
19.40636,-102.053815
19.406483,-102.053847
19.406554,-102.053885
19.406596,-102.053941
19.406626,-102.054014
19.406626,-102.054067
19.406626,-102.054133
19.406605,-102.054188
19.406565,-102.054267
19.406522,-102.054306
19.40645,-102.054333
19.406378,-102.054339
19.406293,-102.054318
19.406229,-102.054292
19.406205,-102.054263
19.406169,-102.054233
19.406035,-102.054266
19.405339,-102.054483
19.405097,-102.054552
19.404793,-102.05464
19.40449,-102.054729
19.404089,-102.054847
19.403631,-102.054972
19.403304,-102.055078
19.402922,-102.055206
19.402715,-102.055271
19.402218,-102.055395
19.401851,-102.055505
19.401727,-102.055544
19.401161,-102.0557
19.40057,-102.055888
19.399821,-102.056108
19.399385,-102.056235
19.398834,-102.056378
19.398667,-102.056437
19.398222,-102.056572
19.398079,-102.056616
19.397526,-102.056772
19.397408,-102.05681
19.397017,-102.056915
19.396597,-102.057042
19.396205,-102.057166
19.396052,-102.057201
19.396047,-102.057221
19.396038,-102.057265
19.396022,-102.057298
19.395994,-102.057339
19.395955,-102.057385
19.39589,-102.057428
19.395828,-102.057442
19.395783,-102.057445
19.39573,-102.057433
19.395688,-102.057405
19.39565,-102.057383
19.395588,-102.057335
19.39533,-102.057414
19.394854,-102.057546
19.394458,-102.057665
19.393703,-102.057857
19.393492,-102.057922
19.39324,-102.057996
19.392611,-102.058161
19.39226,-102.058269
19.391945,-102.058374
19.391576,-102.058471
19.391321,-102.058533
19.391031,-102.058608
19.390587,-102.058734
19.390199,-102.058834
19.389626,-102.058992
19.389271,-102.059106
19.388765,-102.059238
19.388527,-102.059307
19.388215,-102.059351
19.387701,-102.059378
19.387386,-102.059387
19.386785,-102.059423
19.386409,-102.059451
19.385776,-102.059481
19.385534,-102.059507
19.384909,-102.059558
19.384588,-102.059576
19.384007,-102.059619
19.383458,-102.059644
19.382853,-102.059668
19.38228,-102.059689
19.381645,-102.059684
19.38116,-102.059706
19.380837,-102.059721
19.380558,-102.059747
19.379827,-102.059796
19.379475,-102.059816
19.378882,-102.059861
19.378505,-102.059866
19.378115,-102.059899
19.377718,-102.059908
19.377367,-102.059917
19.376933,-102.05994
19.376521,-102.059912
19.376555,-102.059724
19.376916,-102.059792
19.377386,-102.059786
19.378131,-102.059761
19.378296,-102.059751
19.379006,-102.059699
19.379512,-102.059667
19.379749,-102.059644
19.380522,-102.059579
19.380826,-102.059559
19.381546,-102.059519
19.3818,-102.059506
19.38223,-102.05951
19.38271,-102.059491
19.383275,-102.059484
19.383716,-102.059475
19.383909,-102.059465
19.384102,-102.059463
19.384611,-102.059424
19.384932,-102.059405
19.385397,-102.059387
19.385619,-102.059389
19.385899,-102.059351
19.386221,-102.059324
19.386391,-102.059312
19.386677,-102.059298
19.386834,-102.05929
19.387374,-102.059257
19.387821,-102.059236
19.387981,-102.059229
19.388249,-102.059201
19.388526,-102.059131
19.388919,-102.059036
19.389149,-102.05898
19.389541,-102.058878
19.389996,-102.058772
19.390182,-102.058717
19.390672,-102.058583
19.391115,-102.058463
19.391372,-102.058379
19.391846,-102.058242
19.392202,-102.058135
19.392374,-102.058096
19.392888,-102.057955
19.393271,-102.05785
19.393414,-102.057803
19.393769,-102.057722
19.394118,-102.057622
19.394649,-102.057474
19.395153,-102.057336
19.39547,-102.057236
19.395555,-102.05722
19.395557,-102.057158
19.395563,-102.057083
19.39559,-102.057034
19.39563,-102.056987
19.395686,-102.056934
19.395772,-102.056897
19.395849,-102.056903
19.395947,-102.05694
19.396011,-102.057001
19.39632,-102.056914
19.396842,-102.056754
19.396994,-102.056704
19.397509,-102.056553
19.398012,-102.056411
19.3982,-102.056349
19.398811,-102.056173
19.399175,-102.056067
19.399339,-102.056018
19.399834,-102.05588
19.400336,-102.055736
19.400683,-102.055622
19.401115,-102.055496
19.40154,-102.055372
19.401696,-102.055331
19.402064,-102.055226
19.402432,-102.055114
19.402714,-102.05503
19.402948,-102.054961
19.403389,-102.054827
19.40361,-102.054755
19.403853,-102.054699
19.404056,-102.05464
19.404385,-102.054546
19.404698,-102.054459
19.40501,-102.054365
19.405194,-102.054319
19.405579,-102.054193
19.405928,-102.054085
19.406101,-102.054038
19.406135,-102.053996
19.40616,-102.053949
19.406195,-102.053905
19.406229,-102.05387
19.406246,-102.053844
19.406217,-102.053751
19.406157,-102.053551
19.405984,-102.052925
19.405844,-102.052454
19.405713,-102.052017
19.405638,-102.051703
19.405497,-102.05122
19.405443,-102.050981
19.405291,-102.050434
