Latitude,Longitude
19.393678,-102.049029
19.39321,-102.049085
19.392778,-102.049144
19.39273,-102.049141
19.392666,-102.048833
19.39258,-102.048412
19.392542,-102.048186
19.392894,-102.048071
19.393112,-102.048001
19.393516,-102.047851
19.393795,-102.047755
19.393967,-102.047776
19.394232,-102.047964
19.394433,-102.048484
19.394489,-102.048683
19.394514,-102.048833
19.394484,-102.048876
19.394352,-102.048911
19.39413,-102.048956
19.393793,-102.04901
19.393694,-102.049029
19.393726,-102.049163
19.393783,-102.049392
19.393798,-102.049459
19.393844,-102.049639
19.393877,-102.049793
19.393883,-102.04982
19.393937,-102.050029
19.393973,-102.050172
19.393983,-102.050216
19.394086,-102.050588
19.394101,-102.050637
19.394151,-102.050805
19.394216,-102.051028
19.394234,-102.051073
19.394291,-102.051187
19.394414,-102.051436
19.394421,-102.051527
19.394427,-102.05158
19.394452,-102.051633
19.394485,-102.051695
19.394515,-102.051849
19.394567,-102.052087
19.394605,-102.052224
19.394626,-102.05231
19.394704,-102.052662
19.394748,-102.052837
19.394848,-102.05321
19.394861,-102.053267
19.39494,-102.053575
19.394959,-102.053659
19.395033,-102.053938
19.395104,-102.054225
19.395167,-102.054529
19.395234,-102.054853
19.395285,-102.05506
19.39537,-102.055378
19.395446,-102.055664
19.395553,-102.056049
19.395635,-102.056362
19.395767,-102.056853
19.395782,-102.0569
19.395841,-102.056907
19.395903,-102.056921
19.395946,-102.056953
19.395985,-102.056975
19.39601,-102.057031
19.396034,-102.057112
19.396045,-102.057205
19.396035,-102.057256
19.396029,-102.057299
19.396001,-102.057342
19.395972,-102.05738
19.395943,-102.057399
19.395867,-102.057436
19.395889,-102.057503
19.395954,-102.057748
19.39602,-102.057979
19.396089,-102.058235
19.396105,-102.05829
19.396131,-102.058293
19.396163,-102.058299
19.396197,-102.058308
19.396241,-102.058331
19.396423,-102.058261
19.396731,-102.058133
19.396808,-102.058104
19.396899,-102.05807
19.397212,-102.057939
19.397304,-102.057907
19.397705,-102.05776
19.397766,-102.057747
19.398163,-102.057647
19.398374,-102.057591
19.398446,-102.05758
19.398743,-102.057528
19.398986,-102.057507
19.39918,-102.057487
19.399612,-102.057441
19.399703,-102.057449
19.400017,-102.057523
19.400266,-102.057576
19.400352,-102.0576
19.400662,-102.057696
19.40097,-102.057786
19.401116,-102.057831
19.401246,-102.057891
19.401484,-102.057987
