Latitude,Longitude
19.372985,-102.057041
19.373243,-102.057271
19.373468,-102.057459
19.373914,-102.057797
19.374773,-102.058489
19.375459,-102.059075
19.376084,-102.059502
19.376545,-102.059714
19.376534,-102.059915
19.376231,-102.059875
19.375877,-102.059569
19.375337,-102.059102
19.374758,-102.05866
19.37415,-102.058171
19.373166,-102.057428
19.372569,-102.056964
19.371327,-102.05599
19.370619,-102.055459
19.3704,-102.055293
19.370198,-102.055105
19.370099,-102.054904
19.370481,-102.054625
19.371083,-102.054276
19.371655,-102.053901
19.372063,-102.053618
19.372465,-102.053355
19.372829,-102.053101
19.373439,-102.052712
19.373988,-102.052334
19.374403,-102.052063
19.37474,-102.05184
19.375003,-102.05165
19.375342,-102.051264
19.375686,-102.050771
19.376202,-102.050055
19.376812,-102.049207
19.377133,-102.048719
19.377257,-102.048545
19.377451,-102.048303
19.377611,-102.048094
19.377922,-102.047826
19.37862,-102.047272
19.379336,-102.046755
19.379725,-102.046535
19.380119,-102.046275
19.380458,-102.046053
19.380729,-102.045833
19.380654,-102.045699
19.380525,-102.045462
19.380457,-102.045344
19.380305,-102.045109
19.380275,-102.045056
19.380184,-102.044904
19.380137,-102.044774
19.37976,-102.044077
19.379524,-102.043636
19.379326,-102.043221
19.379228,-102.043046
19.378995,-102.042622
19.378658,-102.042026
19.378263,-102.041288
19.378147,-102.041097
19.378065,-102.040938
19.377968,-102.040856
19.37782,-102.040705
19.377759,-102.040611
19.377616,-102.040276
19.377459,-102.039872
19.377281,-102.039478
19.377184,-102.039233
19.377304,-102.039154
19.377523,-102.039042
19.377791,-102.038909
19.378023,-102.038792
19.378138,-102.038736
19.378368,-102.03863
19.378583,-102.038544
19.378804,-102.038432
19.378935,-102.038371
19.379128,-102.038281
19.379253,-102.038218
19.379314,-102.038195
19.379748,-102.038031
19.380024,-102.037916
19.380276,-102.037821
19.380539,-102.037715
19.380851,-102.037585
19.381016,-102.037526
19.381276,-102.037414
19.381401,-102.037362
19.381639,-102.037265
19.381745,-102.037219
19.381887,-102.037147
19.382081,-102.037097
19.382395,-102.037028
19.382618,-102.036981
19.382785,-102.036953
19.382818,-102.036949
19.382698,-102.037405
19.382636,-102.037623
19.382491,-102.038164
19.382432,-102.038391
19.382322,-102.038763
19.382235,-102.039109
19.382157,-102.039432
19.382063,-102.039811
19.381953,-102.040261
19.381819,-102.040824
19.381792,-102.040958
19.38178,-102.04103
19.38177,-102.04108
19.381776,-102.041145
19.381793,-102.041235
19.381866,-102.04138
19.382149,-102.041753
19.382494,-102.042218
19.382876,-102.042751
19.383259,-102.04328
19.383518,-102.043603
19.383748,-102.043894
19.38377,-102.043905
19.384002,-102.043762
19.384816,-102.043231
19.385467,-102.042806
19.385882,-102.042527
19.386502,-102.042117
19.387167,-102.04169
19.387752,-102.041315
