Latitude,Longitude
19.405743,-102.042519
19.406001,-102.042404
19.406431,-102.042246
19.406752,-102.042104
19.407451,-102.041829
19.408078,-102.041582
19.408197,-102.041558
19.408111,-102.041292
19.408599,-102.041059
19.40904,-102.040844
19.409163,-102.041155
19.409325,-102.041504
19.40947,-102.041866
19.409631,-102.042223
19.409836,-102.042569
19.409887,-102.04263
19.41021,-102.042498
19.410686,-102.042262
19.411091,-102.042064
19.411794,-102.041742
19.411899,-102.041684
19.411965,-102.041657
19.412062,-102.041615
19.412168,-102.04157
19.412251,-102.041538
19.412285,-102.041526
19.412351,-102.04171
19.412392,-102.041827
19.412404,-102.041853
19.412516,-102.041802
19.412594,-102.041771
19.412702,-102.041731
19.412824,-102.04169
19.412955,-102.04165
19.413229,-102.041559
19.413335,-102.041527
19.413537,-102.04147
19.413779,-102.041399
19.413994,-102.041338
19.414233,-102.041272
19.414377,-102.041228
19.414575,-102.041166
19.414801,-102.041097
19.415061,-102.041024
19.415209,-102.040978
19.415483,-102.040898
19.415817,-102.04079
19.416089,-102.040709
19.416265,-102.04066
19.416492,-102.040581
19.416576,-102.040562
19.416619,-102.040604
19.416749,-102.040587
19.417018,-102.040545
19.417291,-102.040495
19.417674,-102.04043
19.417791,-102.040408
19.417877,-102.040392
19.41827,-102.040322
19.418791,-102.040219
19.419102,-102.040159
19.419132,-102.040226
19.419158,-102.040389
19.419223,-102.040768
19.419296,-102.041279
19.41935,-102.041586
19.419469,-102.042295
19.419517,-102.042747
19.419562,-102.043153
19.41959,-102.043331
19.41962,-102.043488
19.419745,-102.043684
19.419453,-102.044155
19.419215,-102.044535
19.419161,-102.044652
19.419256,-102.044746
19.419286,-102.044828
19.419306,-102.044945
19.419344,-102.04534
19.419362,-102.045497
19.419382,-102.045686
19.419415,-102.04611
19.419453,-102.046374
19.419472,-102.046571
19.419511,-102.046973
19.419538,-102.047094
19.419563,-102.047334
19.419605,-102.047762
19.419619,-102.047912
19.419651,-102.048303
19.419666,-102.048548
19.419705,-102.048731
19.41974,-102.049123
19.419797,-102.049607
19.419843,-102.050071
19.419864,-102.050235
19.419892,-102.050555
19.419915,-102.050854
19.41994,-102.051128
19.419959,-102.051258
19.420035,-102.051868
19.42004,-102.051983
19.420106,-102.051989
19.420157,-102.052022
19.420218,-102.052089
19.420222,-102.052164
19.420198,-102.052226
19.420156,-102.052294
19.420097,-102.052321
19.420108,-102.052486
19.420127,-102.052731
19.420159,-102.053052
19.420174,-102.053171
19.420203,-102.053366
19.420217,-102.053515
19.420243,-102.053722
19.420267,-102.053985
19.420276,-102.054046
19.420074,-102.054103
19.419813,-102.054168
19.419638,-102.054208
19.419383,-102.054266
19.419134,-102.054333
19.418749,-102.054417
19.418639,-102.054457
19.418401,-102.054546
19.418089,-102.054677
19.417824,-102.054765
19.417403,-102.054921
19.417327,-102.054939
19.417403,-102.055206
19.417468,-102.055473
19.417584,-102.055846
19.417638,-102.056089
19.417707,-102.056314
19.41788,-102.056914
19.417939,-102.057148
19.418071,-102.05758
19.41817,-102.057962
19.418383,-102.058754
19.418506,-102.059191
19.418718,-102.059897
19.41878,-102.060103
19.41902,-102.060995
19.419074,-102.061162
19.419276,-102.061813
19.41936,-102.062055
19.419714,-102.061969
19.420124,-102.061854
19.420319,-102.061792
19.420605,-102.061703
19.420804,-102.061639
19.420855,-102.06162
19.420876,-102.061721
19.420968,-102.062108
19.421036,-102.062348
19.421102,-102.06263
19.421167,-102.062933
19.421266,-102.063289
19.421306,-102.063448
19.421371,-102.063657
19.421449,-102.063918
19.421509,-102.064078
19.421671,-102.064044
19.421945,-102.063979
19.42212,-102.06393
19.422125,-102.064029
19.422261,-102.064408
19.422318,-102.064569
19.422355,-102.064714
19.422451,-102.065044
19.422555,-102.065382
19.422642,-102.065639
19.42267,-102.065733
19.42296,-102.065656
19.423267,-102.065563
19.423462,-102.065495
19.423726,-102.065424
19.423831,-102.065815
19.423973,-102.066353
19.424027,-102.066503
19.424151,-102.066924
19.424204,-102.067069
19.424328,-102.067497
19.424365,-102.067644
19.424489,-102.068062
19.424621,-102.06856
19.424672,-102.068748
19.424901,-102.069596
19.424952,-102.069762
19.425044,-102.070084
19.425199,-102.07064
19.425275,-102.070903
19.425418,-102.071449
19.42545,-102.071527
19.425633,-102.071598
19.425928,-102.071731
19.426376,-102.071928
19.426706,-102.072073
19.427448,-102.072402
19.427689,-102.072509
19.42824,-102.072717
19.428583,-102.072864
19.428776,-102.072945
19.429014,-102.072977
19.429163,-102.07296
19.429254,-102.072923
19.429574,-102.072713
19.429842,-102.072564
19.430111,-102.072434
19.430378,-102.072326
19.430577,-102.072276
19.430691,-102.072268
19.430952,-102.07226
19.431198,-102.072278
19.431395,-102.072319
19.43156,-102.072392
19.431734,-102.072512
19.431997,-102.072767
19.432072,-102.072861
19.432209,-102.073114
19.432383,-102.073403
19.432515,-102.07363
19.432704,-102.073959
19.432915,-102.074381
19.432971,-102.074449
19.433212,-102.074593
19.433283,-102.074574
19.433353,-102.074579
19.433413,-102.074609
19.433451,-102.074657
19.433482,-102.074719
19.433485,-102.074809
19.433452,-102.0749
19.433403,-102.074953
19.433329,-102.074959
19.433288,-102.074959
19.433217,-102.074945
19.433174,-102.074919
19.433088,-102.07494
19.433027,-102.074998
19.432831,-102.075198
19.432665,-102.075361
19.432412,-102.075596
19.432142,-102.075825
19.431979,-102.075939
19.431701,-102.076001
19.431597,-102.075973
19.43152,-102.075918
19.431379,-102.075805
19.431306,-102.075761
19.431234,-102.075729
19.431177,-102.075897
19.431038,-102.076204
19.430975,-102.076355
19.43096,-102.076469
19.430957,-102.076779
19.430919,-102.077043
19.430821,-102.077373
19.430711,-102.077684
19.430655,-102.077825
19.43057,-102.078152
19.430541,-102.078265
19.430435,-102.078667
19.430398,-102.078768
19.430316,-102.079152
19.430287,-102.079243
19.430125,-102.079707
19.430017,-102.080072
19.430033,-102.080092
19.430325,-102.080114
19.430624,-102.080106
19.430932,-102.0801
19.431286,-102.080092
19.431549,-102.080087
19.432224,-102.080071
19.432419,-102.080057
19.433071,-102.080053
19.433344,-102.080047
19.433335,-102.080507
19.43371,-102.080522
19.434042,-102.080531
19.434239,-102.080539
19.434302,-102.080539
19.43435,-102.08057
19.434372,-102.080611
19.434377,-102.080647
19.434377,-102.080719
19.434376,-102.081007
19.434378,-102.081087
19.434385,-102.081504
19.434385,-102.081581
19.434382,-102.081986
19.434386,-102.082064
19.434397,-102.082465
19.434399,-102.082934
19.434401,-102.083032
19.434408,-102.08352
19.434404,-102.083589
19.434413,-102.083973
19.434418,-102.083995
19.434588,-102.084
19.434873,-102.084008
19.435423,-102.084016
19.43549,-102.084018
19.435503,-102.084069
19.435604,-102.084087
19.435715,-102.084101
19.435831,-102.0841
19.435989,-102.084098
19.436331,-102.084101
19.436499,-102.084095
19.43689,-102.084105
19.437179,-102.084098
19.437273,-102.084098
19.437561,-102.084115
19.437612,-102.084123
19.437605,-102.08423
19.43757,-102.084635
19.437551,-102.085019
19.43755,-102.08512
19.437524,-102.085484
19.437529,-102.085588
19.437513,-102.086019
19.43751,-102.08605
19.437472,-102.086053
19.437475,-102.085998
19.43748,-102.085694
19.437494,-102.08545
19.437498,-102.085209
19.437518,-102.08481
19.437548,-102.084492
19.437565,-102.084315
19.437569,-102.084154
19.437325,-102.084144
19.437188,-102.084137
19.43692,-102.084138
19.436684,-102.084137
19.436419,-102.084139
19.436312,-102.084136
19.436014,-102.084139
19.435812,-102.084142
19.435645,-102.084136
19.435503,-102.08411
19.435477,-102.084093
19.435467,-102.084054
19.435411,-102.084056
19.435246,-102.084053
19.435034,-102.084048
19.434738,-102.084044
19.434423,-102.084038
19.434383,-102.084036
19.43438,-102.083978
19.434374,-102.08361
19.434369,-102.083339
19.434366,-102.083008
19.434366,-102.082866
19.434367,-102.082518
19.434368,-102.08245
19.434355,-102.082163
19.434349,-102.082049
19.434349,-102.0819
19.434349,-102.081572
19.434349,-102.081467
19.434345,-102.081073
19.434343,-102.080979
19.434337,-102.080632
