Latitude,Longitude
19.427033,-102.033176
19.427281,-102.033233
19.427549,-102.033284
19.42784,-102.033348
19.427969,-102.033319
19.428576,-102.033453
19.428829,-102.033517
19.428627,-102.034217
19.428485,-102.034697
19.428339,-102.035153
19.428093,-102.035896
19.42785,-102.036647
19.427608,-102.037399
19.427547,-102.037581
19.427501,-102.037887
19.427294,-102.038445
19.427188,-102.038825
19.427076,-102.039196
19.426904,-102.03978
19.426763,-102.040172
19.426712,-102.040386
19.426525,-102.041019
19.426393,-102.041647
19.426211,-102.04224
19.425963,-102.043007
19.425862,-102.043458
19.425731,-102.044128
19.425695,-102.044418
19.425675,-102.044686
19.42564,-102.04503
19.425594,-102.045663
19.425599,-102.045834
19.42564,-102.046462
19.42566,-102.04687
19.42572,-102.047497
19.425746,-102.047835
19.425776,-102.048093
19.425634,-102.048356
19.425331,-102.048431
19.425134,-102.048356
19.424881,-102.048286
19.424562,-102.048189
19.424274,-102.048077
19.423909,-102.047975
19.423388,-102.047862
19.422741,-102.047883
19.422473,-102.047905
19.422114,-102.047975
19.421856,-102.048013
19.421492,-102.048061
19.420957,-102.048162
19.420825,-102.048221
19.420613,-102.048398
19.420501,-102.048559
19.420324,-102.048768
19.420112,-102.049047
19.419844,-102.049347
19.419626,-102.049567
19.41934,-102.04979
19.4191,-102.049986
19.418875,-102.050163
19.418637,-102.050329
19.418366,-102.050541
19.418204,-102.050654
19.418151,-102.050772
19.418015,-102.050868
19.417883,-102.05079
19.417618,-102.050903
19.416679,-102.051182
19.416445,-102.051265
19.416096,-102.051383
19.415704,-102.051477
19.415036,-102.051697
19.414756,-102.051769
19.41425,-102.051912
19.413736,-102.052043
19.413435,-102.052142
19.412992,-102.052274
19.412919,-102.052287
19.413028,-102.052565
19.413099,-102.052782
19.413166,-102.052966
19.413247,-102.053214
19.413304,-102.053353
19.413346,-102.053486
19.41339,-102.053634
19.413444,-102.05377
19.413503,-102.053926
19.413561,-102.054108
19.413597,-102.054206
19.413658,-102.054358
19.413709,-102.054509
19.413773,-102.054682
19.413868,-102.054953
19.413907,-102.055066
19.414001,-102.055315
19.41413,-102.055707
19.414181,-102.055844
19.414241,-102.056026
19.414335,-102.056254
19.414439,-102.056517
19.414514,-102.056726
19.414573,-102.056922
19.414626,-102.057123
19.414681,-102.05733
19.414747,-102.057566
19.414826,-102.05785
19.414886,-102.058051
19.414952,-102.05826
19.415066,-102.058665
19.415166,-102.059013
19.415318,-102.059516
19.415631,-102.060566
19.41574,-102.060871
19.415791,-102.061015
19.415878,-102.061301
19.415937,-102.061513
19.41601,-102.061768
19.416072,-102.061969
19.416135,-102.062182
19.416194,-102.06234
19.41625,-102.062531
19.416292,-102.062682
19.416388,-102.063011
19.416438,-102.063133
19.416509,-102.063346
19.416587,-102.063592
19.416637,-102.063771
19.416687,-102.063956
19.416724,-102.06408
19.416558,-102.064154
19.416208,-102.064274
19.415941,-102.064386
19.415655,-102.064485
19.415266,-102.064619
19.41481,-102.064774
19.414565,-102.064842
19.414276,-102.064927
19.413808,-102.065072
19.413626,-102.065147
19.413429,-102.065209
19.413024,-102.065351
19.41285,-102.065407
19.412635,-102.065477
19.412468,-102.065522
19.412217,-102.065616
19.411992,-102.065689
19.4118,-102.06575
19.411567,-102.065839
19.411355,-102.065922
19.411094,-102.066005
19.410866,-102.066083
19.410591,-102.066161
19.410406,-102.066233
19.410097,-102.066335
19.409629,-102.066472
19.409197,-102.066587
19.408751,-102.066689
19.408362,-102.066775
19.408013,-102.066818
19.407704,-102.066888
19.407294,-102.066947
19.407164,-102.066945
19.407023,-102.066935
19.406916,-102.066909
19.406733,-102.066858
19.406601,-102.06683
19.406394,-102.066783
19.406209,-102.066756
19.405999,-102.066702
19.405875,-102.066667
19.40569,-102.066636
19.405551,-102.066588
19.405292,-102.06654
19.4052,-102.066513
19.405152,-102.066493
19.405053,-102.066505
19.404942,-102.066531
19.404789,-102.066552
19.404615,-102.066578
19.404395,-102.066597
19.404161,-102.06665
19.403991,-102.066673
19.403691,-102.06672
19.403402,-102.066759
19.40324,-102.066806
19.402954,-102.066913
19.402779,-102.067034
19.402666,-102.067128
19.402324,-102.067509
19.402139,-102.067613
19.401856,-102.067712
19.401641,-102.06783
19.401431,-102.067954
19.401102,-102.06819
19.400887,-102.068327
19.40067,-102.068407
19.400518,-102.068394
19.400381,-102.068335
19.400136,-102.068252
19.399974,-102.068166
19.399804,-102.068123
19.399389,-102.068163
19.399005,-102.068244
19.398543,-102.068356
19.398121,-102.068466
19.397703,-102.068568
19.397266,-102.068697
19.396598,-102.068855
19.396188,-102.068976
19.395889,-102.069051
19.39554,-102.06915
19.395272,-102.069228
19.394994,-102.069314
19.394725,-102.069343
19.394422,-102.06937
19.394075,-102.069397
19.393774,-102.069413
19.393506,-102.069453
19.393202,-102.069507
19.392787,-102.069593
19.392476,-102.069689
19.392069,-102.069762
19.391866,-102.069807
19.391568,-102.069864
19.391298,-102.06994
19.391081,-102.069983
19.390755,-102.070063
19.390625,-102.070082
19.390443,-102.07013
19.390228,-102.070184
