Latitude,Longitude
19.431818,-102.086398
19.431749,-102.086399
19.431519,-102.086381
19.431374,-102.086372
19.431157,-102.086359
19.43089,-102.086339
19.430792,-102.086331
19.430739,-102.086327
19.430596,-102.086314
19.430445,-102.0863
19.430315,-102.086289
19.430205,-102.086274
19.430056,-102.086257
19.429993,-102.086248
19.429859,-102.086244
19.429724,-102.086234
19.429625,-102.086227
19.429516,-102.086216
19.429399,-102.086196
19.429291,-102.08618
19.429245,-102.086172
19.429164,-102.086158
19.429144,-102.08603
19.429127,-102.085843
19.429121,-102.085645
19.429126,-102.085469
19.429146,-102.085223
19.429155,-102.084988
19.429176,-102.084836
19.429229,-102.084549
19.429257,-102.08436
19.429298,-102.084073
19.429348,-102.083831
19.429383,-102.083575
19.429429,-102.083315
19.429474,-102.083048
19.42951,-102.082801
19.429544,-102.082613
19.429549,-102.082522
19.429558,-102.082469
19.429546,-102.08228
19.429537,-102.082209
19.429522,-102.08197
19.429517,-102.081681
19.429517,-102.081502
19.429521,-102.08134
19.429526,-102.081186
19.429606,-102.080942
19.429666,-102.080741
19.429783,-102.08044
19.429918,-102.080106
19.429969,-102.079949
19.43004,-102.079728
19.43011,-102.079531
19.430208,-102.079232
19.430245,-102.079153
19.43027,-102.079044
19.430328,-102.078811
19.430369,-102.078655
19.430412,-102.078513
19.430451,-102.078334
19.430471,-102.078261
19.430535,-102.078026
19.430584,-102.077816
19.430621,-102.077711
19.430686,-102.077544
19.430731,-102.077415
19.43079,-102.077281
19.43083,-102.077146
19.43087,-102.077032
19.430884,-102.076922
19.430895,-102.076754
19.430898,-102.076483
19.430915,-102.076377
19.430938,-102.07629
19.430975,-102.076188
19.431089,-102.075905
19.431137,-102.075793
19.431192,-102.075679
19.431236,-102.075573
19.431401,-102.075665
19.431499,-102.075732
19.43161,-102.075792
19.43172,-102.075833
19.431839,-102.075831
19.431967,-102.075745
19.432136,-102.075604
19.432354,-102.075446
19.432599,-102.075239
19.432702,-102.075141
19.432793,-102.075036
19.432887,-102.074936
19.432967,-102.074863
19.433041,-102.074797
19.433111,-102.074762
19.43312,-102.074699
19.433175,-102.074624
19.433269,-102.074567
19.4334,-102.074582
19.433617,-102.074441
19.433794,-102.074307
19.434024,-102.074128
19.434215,-102.073967
19.434399,-102.073802
19.434459,-102.073709
19.43449,-102.073595
19.434513,-102.073465
19.434504,-102.073368
19.434479,-102.07321
19.434465,-102.073143
19.434427,-102.073
19.434331,-102.072684
19.434269,-102.072438
19.434218,-102.072322
19.434153,-102.072101
19.434077,-102.071854
19.434002,-102.071591
19.433895,-102.071335
19.433828,-102.071087
19.433771,-102.070957
19.433732,-102.07082
19.433667,-102.070661
19.433611,-102.070532
19.433532,-102.070447
19.433366,-102.070268
19.43324,-102.070147
19.433061,-102.069996
19.432799,-102.069766
19.432616,-102.069601
19.432389,-102.069407
19.43221,-102.069254
19.432001,-102.06906
19.431894,-102.068967
19.431716,-102.068822
19.431548,-102.068665
19.431376,-102.068533
19.431227,-102.068396
19.431102,-102.068284
19.430829,-102.068048
19.43064,-102.067851
19.430519,-102.067712
19.430404,-102.067548
19.430311,-102.06743
19.430198,-102.067241
19.430093,-102.067065
19.429969,-102.066827
19.429909,-102.066634
19.429826,-102.066399
19.429735,-102.066149
19.429663,-102.065837
19.429577,-102.065566
19.429478,-102.065259
19.429392,-102.064908
19.429193,-102.06432
19.429029,-102.063828
19.428888,-102.063395
19.428774,-102.062998
19.428665,-102.062652
19.428584,-102.062394
19.428455,-102.061898
19.428356,-102.061531
19.42828,-102.061319
19.428192,-102.061016
19.428055,-102.060568
19.427984,-102.060283
19.427893,-102.060026
19.427815,-102.05979
19.427726,-102.059498
19.427663,-102.05928
19.427515,-102.058747
19.427363,-102.058226
19.427287,-102.057904
19.427188,-102.057674
19.427085,-102.057357
19.426994,-102.057014
19.426925,-102.056732
19.426829,-102.05644
19.426733,-102.056177
19.42667,-102.055979
19.426607,-102.055761
19.426455,-102.0553
19.426392,-102.055024
19.426285,-102.054659
19.426217,-102.054299
19.426171,-102.053983
19.426113,-102.053508
19.426075,-102.053127
19.42605,-102.052913
19.42602,-102.052602
19.425992,-102.052113
19.425962,-102.051818
19.425939,-102.051502
19.425881,-102.051175
19.425873,-102.050768
19.425843,-102.050444
19.425807,-102.050151
19.425797,-102.049896
19.425741,-102.049532
19.425701,-102.049148
19.425661,-102.04885
19.425635,-102.048499
19.425605,-102.048048
19.425567,-102.047557
19.425532,-102.047171
19.425489,-102.046415
19.425466,-102.04594
19.425476,-102.045575
19.425494,-102.04513
19.425526,-102.044736
19.425633,-102.043918
19.425728,-102.043489
19.425826,-102.043051
19.425917,-102.042668
19.426026,-102.042292
19.42618,-102.041748
19.426228,-102.041531
19.426335,-102.041194
19.426437,-102.040821
19.426616,-102.040284
19.426707,-102.039979
19.426841,-102.039501
19.42697,-102.03912
19.427079,-102.038742
19.427196,-102.038353
19.42733,-102.037857
19.427502,-102.037345
19.427626,-102.036897
19.427903,-102.035967
19.428037,-102.035514
19.428148,-102.03513
19.42828,-102.034747
19.428431,-102.034245
19.428533,-102.033862
19.428667,-102.033455
19.428856,-102.032833
19.428965,-102.032401
19.429104,-102.031983
19.429271,-102.031494
19.429463,-102.030722
19.429592,-102.030363
19.429714,-102.02989
19.429855,-102.029504
19.430073,-102.028844
19.430197,-102.028493
19.430316,-102.028171
19.430513,-102.027659
19.430736,-102.0272
19.430943,-102.026803
19.431194,-102.026382
19.431406,-102.026015
19.4315,-102.025856
19.431562,-102.02571
19.43157,-102.025461
19.43155,-102.02538
19.431421,-102.025281
19.431297,-102.025195
19.431203,-102.025126
19.431016,-102.025115
19.430652,-102.025131
19.430265,-102.025126
19.429804,-102.025166
19.429402,-102.025168
19.429291,-102.025163
19.429261,-102.025154
19.429204,-102.025159
19.42909,-102.025166
19.428994,-102.025166
19.428815,-102.025171
19.428614,-102.025175
19.428472,-102.02518
19.428345,-102.025183
19.428069,-102.025195
19.427919,-102.025195
19.427745,-102.025203
19.427608,-102.025207
19.427512,-102.025208
19.427397,-102.025205
19.427303,-102.025205
19.427103,-102.025213
19.426992,-102.025215
19.426837,-102.025219
19.426722,-102.025221
19.426611,-102.025224
19.426457,-102.025227
19.426182,-102.025232
19.425852,-102.025238
19.425578,-102.025246
19.425314,-102.025246
19.425109,-102.02528
19.424787,-102.025275
19.424302,-102.025267
19.423912,-102.025275
19.423384,-102.025286
19.423156,-102.025275
19.423143,-102.02517
19.423148,-102.025052
19.423118,-102.024942
19.423164,-102.024583
19.423191,-102.024382
19.423234,-102.023918
19.423265,-102.023572
19.423308,-102.023105
19.423377,-102.022655
19.423422,-102.022534
19.423435,-102.022392
19.423476,-102.022108
19.423536,-102.021386
19.423562,-102.020992
19.423627,-102.020539
19.423727,-102.019722
19.423802,-102.019098
19.423856,-102.018682
19.423907,-102.018205
19.423918,-102.017917
19.423975,-102.017351
19.424038,-102.016814
19.424113,-102.016011
19.42414,-102.015753
19.424188,-102.015367
19.424261,-102.014931
19.424305,-102.014483
19.424358,-102.014049
19.424394,-102.013655
19.424429,-102.013341
19.424452,-102.013047
19.424466,-102.012768
19.424442,-102.012347
19.424355,-102.011919
19.424014,-102.010996
19.423906,-102.010674
19.42374,-102.010293
19.423575,-102.009916
19.423341,-102.00934
19.423098,-102.008719
19.422857,-102.008162
19.422697,-102.00778
19.422565,-102.007473
19.4224,-102.007054
19.422263,-102.006682
19.422077,-102.00627
19.421918,-102.00585
19.421749,-102.005449
19.421534,-102.004938
19.421187,-102.004087
19.420937,-102.00349
19.420724,-102.003545
19.420215,-102.003633
19.420107,-102.003657
19.420095,-102.003674
19.420076,-102.00377
19.420024,-102.003951
19.419968,-102.004155
19.419867,-102.004508
19.419813,-102.004706
19.419756,-102.004906
19.419617,-102.005409
19.419477,-102.005908
19.419398,-102.006206
19.419318,-102.006499
19.419256,-102.006756
19.419164,-102.007103
19.419102,-102.007336
19.419045,-102.007575
19.419014,-102.007704
19.418944,-102.007941
19.418906,-102.008071
19.41886,-102.008062
19.418709,-102.008032
19.418615,-102.008012
19.41857,-102.008
19.418508,-102.007995
19.418451,-102.007996
19.418285,-102.007963
19.418147,-102.007932
19.417962,-102.007896
19.417752,-102.007855
19.417509,-102.007801
19.417295,-102.007767
19.417106,-102.007722
19.41695,-102.007688
19.416638,-102.007624
19.416445,-102.007611
19.415934,-102.007502
19.415767,-102.007461
19.415707,-102.007454
19.415685,-102.00755
19.41566,-102.007632
19.415624,-102.007828
19.415624,-102.00784
19.415645,-102.007852
19.415726,-102.007869
19.415846,-102.007895
19.416091,-102.007949
19.4163,-102.007997
19.416305,-102.008027
19.416204,-102.008005
19.416039,-102.007967
19.415842,-102.007923
19.415691,-102.00789
19.415596,-102.007866
19.415594,-102.007846
19.415596,-102.007818
19.415607,-102.007775
19.415618,-102.007726
19.41563,-102.007669
19.415645,-102.0076
19.415663,-102.007544
19.415679,-102.007477
19.41569,-102.007418
19.415712,-102.007338
19.415725,-102.007322
19.41581,-102.007343
19.416,-102.007392
19.416253,-102.007437
19.416493,-102.007492
19.416751,-102.007532
19.416929,-102.007569
19.417196,-102.007621
19.417415,-102.007669
19.417788,-102.007744
19.418235,-102.007833
19.418376,-102.007884
19.418487,-102.007925
19.418561,-102.00797
19.418679,-102.007994
19.418861,-102.008033
19.418893,-102.00804
19.418912,-102.007988
19.418934,-102.007895
19.418984,-102.00772
19.419017,-102.007585
19.419044,-102.007478
19.41907,-102.007365
19.419116,-102.007194
19.419156,-102.007031
19.419194,-102.0069
19.41923,-102.006765
19.41932,-102.006402
19.419384,-102.006166
19.419415,-102.006049
19.419482,-102.005804
19.419538,-102.005599
19.419592,-102.005403
19.419669,-102.005125
19.419778,-102.00474
19.419853,-102.004475
19.419927,-102.004207
19.419979,-102.004012
19.420015,-102.003893
19.420059,-102.003736
19.420086,-102.003658
19.420089,-102.003645
19.420045,-102.003616
19.420097,-102.003561
19.420228,-102.003528
19.420419,-102.0035
19.420522,-102.003483
19.420684,-102.00344
19.420825,-102.003404
19.421009,-102.003351
19.421137,-102.003649
19.421307,-102.004077
19.421447,-102.00448
19.421616,-102.004892
19.42174,-102.005204
19.421968,-102.005733
19.42214,-102.006192
19.422315,-102.006643
19.422485,-102.007043
19.422682,-102.007527
19.422853,-102.00795
19.423,-102.00828
19.423205,-102.008796
19.423339,-102.009138
19.423509,-102.009512
19.423686,-102.009894
19.423866,-102.010348
19.424126,-102.011015
19.424256,-102.011347
19.424357,-102.011682
19.424441,-102.011922
19.424524,-102.012201
19.424574,-102.012662
19.424566,-102.012929
19.424522,-102.01337
19.424488,-102.013703
19.424443,-102.014064
19.424389,-102.014659
19.424336,-102.014992
19.424316,-102.015258
19.424272,-102.015617
19.424228,-102.015927
19.424202,-102.016238
19.424168,-102.016473
19.424107,-102.016914
19.424076,-102.017394
19.424052,-102.017791
19.42398,-102.018302
19.423937,-102.018656
19.42391,-102.018958
19.423838,-102.019424
19.423799,-102.019875
19.423754,-102.02027
19.423721,-102.02068
19.423675,-102.021125
19.423632,-102.021549
19.423613,-102.021839
19.423581,-102.022177
19.423551,-102.022487
19.423544,-102.022639
19.423576,-102.02272
19.423583,-102.022847
19.423553,-102.023143
19.423547,-102.023286
19.42351,-102.023555
19.423497,-102.023872
19.423449,-102.02419
19.423428,-102.024464
19.423391,-102.024779
19.42338,-102.02498
19.423382,-102.025045
19.423744,-102.025053
19.423983,-102.025049
19.424251,-102.025058
19.424424,-102.025069
19.424794,-102.025109
19.424964,-102.025128
19.425136,-102.025151
19.425262,-102.025211
19.425315,-102.025216
19.425422,-102.025219
19.42552,-102.025216
19.425618,-102.025213
19.425755,-102.025209
19.42593,-102.025206
19.42608,-102.025203
19.426231,-102.0252
19.42633,-102.025196
19.426567,-102.025192
19.426782,-102.025187
19.427018,-102.025186
19.42718,-102.02518
19.427327,-102.025177
19.427446,-102.025182
19.427566,-102.025177
19.427691,-102.025174
19.427897,-102.025166
19.428192,-102.025158
19.42845,-102.025147
19.428742,-102.025139
19.428961,-102.025133
19.42907,-102.025134
19.42923,-102.025127
19.429292,-102.025116
19.429424,-102.025082
19.429599,-102.025055
19.429848,-102.025008
19.430187,-102.02496
19.430834,-102.024937
19.431061,-102.024919
19.431301,-102.024896
19.431413,-102.024869
19.431483,-102.024847
19.431635,-102.025264
