Latitude,Longitude
19.407216,-102.00994
19.407883,-102.009801
19.408622,-102.009597
19.408685,-102.009935
19.408789,-102.010348
19.408893,-102.010715
19.408964,-102.011083
19.40907,-102.011501
19.409118,-102.011861
19.409212,-102.012301
19.409214,-102.012341
19.408998,-102.012385
19.408945,-102.012916
19.408869,-102.013791
19.408871,-102.014013
19.408517,-102.014007
19.408122,-102.01397
19.407674,-102.013932
19.407401,-102.013921
19.40734,-102.0139
19.40733,-102.014136
19.407264,-102.015144
19.407247,-102.015458
19.407214,-102.016236
19.407199,-102.01677
19.407193,-102.016904
19.407188,-102.018114
19.407193,-102.018157
19.407307,-102.018154
19.40733,-102.018401
19.407363,-102.019039
19.40736,-102.01913
19.407404,-102.020051
19.407412,-102.020195
19.407719,-102.020185
19.407864,-102.020142
19.408233,-102.020027
19.408587,-102.019896
19.408949,-102.019767
19.409318,-102.019652
19.40945,-102.019626
19.409618,-102.020337
19.409681,-102.02058
19.4097,-102.020679
19.409786,-102.021095
19.409841,-102.021301
19.409886,-102.021524
19.409992,-102.022078
19.410042,-102.022367
19.410097,-102.02266
19.410164,-102.022943
19.410225,-102.023244
19.410262,-102.023421
19.410336,-102.023656
19.410411,-102.023887
19.410502,-102.024066
19.410842,-102.024362
19.411125,-102.024609
19.411315,-102.024794
19.411516,-102.025014
19.411586,-102.025089
19.411756,-102.025361
19.411904,-102.025613
19.412061,-102.025856
19.41216,-102.026026
19.412227,-102.026138
19.412429,-102.026478
19.412478,-102.026555
19.412665,-102.026853
19.412785,-102.027039
19.412947,-102.027314
19.413095,-102.027552
19.413156,-102.027619
19.413577,-102.027986
19.41419,-102.028532
19.414267,-102.028606
19.41441,-102.028747
19.414685,-102.029019
19.414854,-102.029192
19.414976,-102.029307
19.41512,-102.02946
19.415272,-102.029618
19.415408,-102.029766
19.41547,-102.029831
19.415531,-102.029896
19.415673,-102.030086
19.415816,-102.030435
19.415918,-102.030744
19.416009,-102.031056
19.416261,-102.031888
19.416292,-102.031979
19.416533,-102.032778
19.416579,-102.032926
19.416638,-102.033217
19.416665,-102.033371
19.41667,-102.033512
19.416665,-102.033654
19.416596,-102.033934
19.416482,-102.034336
