Latitude,Longitude
19.413581,-102.014259
19.413863,-102.014259
19.41429,-102.014257
19.414745,-102.014278
19.41541,-102.014329
19.41579,-102.014351
19.416144,-102.014356
19.416817,-102.014377
19.417187,-102.014382
19.417533,-102.014385
19.417882,-102.014388
19.418279,-102.014423
19.418474,-102.014482
19.419114,-102.014466
19.419335,-102.014476
19.420043,-102.01444
19.420166,-102.014439
19.421016,-102.014426
19.421387,-102.014425
19.421723,-102.014427
19.422264,-102.014442
19.422657,-102.014439
19.423325,-102.014446
19.423747,-102.014459
19.424201,-102.014474
19.424401,-102.014503
19.424375,-102.014804
19.424314,-102.015191
19.424275,-102.015596
19.424198,-102.016196
19.424184,-102.016337
19.424151,-102.016688
19.424116,-102.017018
19.424097,-102.017306
19.424033,-102.017951
19.424018,-102.018068
19.423799,-102.01808
19.423426,-102.01806
19.42291,-102.018024
19.422677,-102.01801
19.422552,-102.018009
19.422304,-102.018052
19.421683,-102.018159
19.421128,-102.018252
19.420753,-102.01832
19.420348,-102.018382
19.420094,-102.018423
19.419993,-102.01845
19.419907,-102.018438
19.419872,-102.018465
19.419854,-102.018484
19.419856,-102.01851
19.419872,-102.018642
19.419887,-102.018876
19.419897,-102.018966
19.419922,-102.019281
19.419929,-102.019351
19.419946,-102.019627
19.419955,-102.01969
19.420008,-102.019951
19.420011,-102.020014
19.419966,-102.020004
19.419772,-102.020013
19.419326,-102.020036
19.418775,-102.020073
19.418759,-102.02008
19.418766,-102.020379
19.418767,-102.020453
19.418772,-102.020706
19.418757,-102.020772
19.418621,-102.020796
19.418404,-102.020808
19.418246,-102.020807
19.418089,-102.020767
19.417903,-102.02072
19.41777,-102.020689
19.417617,-102.02062
19.417545,-102.020592
19.417442,-102.020587
19.417338,-102.020591
19.417147,-102.020637
19.417069,-102.020652
19.416976,-102.020664
19.416713,-102.02068
19.416663,-102.020675
19.416598,-102.020665
19.416522,-102.020634
19.416466,-102.020602
19.416374,-102.020551
19.416314,-102.020511
19.416293,-102.020507
19.416077,-102.020472
19.416003,-102.02046
19.415748,-102.020459
19.415678,-102.020455
19.415401,-102.020428
19.415308,-102.020425
19.415312,-102.020445
19.415438,-102.020827
19.415463,-102.020904
19.415617,-102.021403
19.415645,-102.021487
19.415757,-102.021863
19.415979,-102.022594
19.416006,-102.02267
19.416098,-102.022974
19.416345,-102.023752
19.416386,-102.023881
19.416501,-102.024222
19.416749,-102.024961
19.416799,-102.025128
19.41685,-102.025383
19.416435,-102.025389
19.416049,-102.025404
19.415916,-102.025398
19.4152,-102.025441
19.415069,-102.025445
19.41431,-102.025449
19.414178,-102.025445
19.413778,-102.025449
19.413419,-102.025486
19.41332,-102.025499
19.41295,-102.025544
19.412584,-102.025626
19.412473,-102.025665
19.412083,-102.02578
19.412041,-102.02581
19.412155,-102.026003
19.412409,-102.026451
19.412525,-102.026622
19.412762,-102.026993
19.41295,-102.027312
19.413073,-102.027537
19.413272,-102.027735
19.41364,-102.02804
19.413945,-102.028307
19.414183,-102.028525
19.414318,-102.028655
19.414563,-102.0289
19.414803,-102.029141
19.415135,-102.029474
19.415413,-102.029769
19.415558,-102.029936
19.415684,-102.030089
19.41574,-102.030235
19.415827,-102.030483
19.415948,-102.030872
19.416123,-102.031437
19.416263,-102.031904
19.416304,-102.032027
19.416538,-102.032771
19.416594,-102.032977
19.416649,-102.033221
19.416672,-102.03361
19.416595,-102.033935
19.416577,-102.034012
19.416215,-102.035152
19.416181,-102.035244
19.41619,-102.035911
19.416205,-102.036048
19.416199,-102.036271
19.416213,-102.037076
19.416219,-102.037222
19.41651,-102.037206
19.416765,-102.037172
19.417075,-102.037118
19.41746,-102.037051
19.417619,-102.037032
19.418269,-102.036897
19.418465,-102.036866
19.418551,-102.036855
19.418627,-102.037376
19.418661,-102.037495
19.418721,-102.037933
19.418746,-102.038061
19.418896,-102.03893
19.418933,-102.039083
19.418958,-102.03923
19.419018,-102.039625
19.419106,-102.040174
19.419123,-102.040324
19.419197,-102.040756
19.419239,-102.041008
19.419281,-102.041247
19.419307,-102.041389
19.419353,-102.041684
19.419402,-102.041936
19.419495,-102.042551
19.419553,-102.043064
19.419591,-102.043313
19.419614,-102.043465
19.419751,-102.043701
19.419512,-102.044055
19.419197,-102.044574
19.419165,-102.044648
19.419235,-102.044711
19.419282,-102.04481
19.419306,-102.044955
19.419315,-102.045149
19.419352,-102.045334
19.419369,-102.04551
19.419385,-102.045797
19.419404,-102.04606
19.419456,-102.046372
19.419468,-102.046517
19.419526,-102.04697
19.419535,-102.047063
19.4196,-102.047763
19.419614,-102.047944
19.41968,-102.048683
19.419722,-102.048944
19.419753,-102.049301
19.419795,-102.049609
19.419846,-102.050069
19.419853,-102.050229
19.419906,-102.050798
19.419944,-102.05112
19.419957,-102.05124
19.420032,-102.051893
19.420044,-102.051966
19.420096,-102.051982
19.420156,-102.052007
19.420192,-102.052038
19.420238,-102.052119
19.420221,-102.052182
19.420212,-102.052234
19.420173,-102.052282
19.420116,-102.052318
19.420095,-102.05232
19.420095,-102.052395
19.420129,-102.052681
19.420162,-102.053015
19.420175,-102.053194
19.420212,-102.053494
19.420258,-102.053945
19.420279,-102.054052
19.420185,-102.054086
19.419489,-102.054247
19.419278,-102.0543
19.418923,-102.054379
19.418638,-102.054456
19.418408,-102.054544
19.418168,-102.054651
19.41784,-102.054768
19.41739,-102.054917
19.417332,-102.054937
19.417363,-102.055047
19.417424,-102.055269
19.417584,-102.055857
19.417628,-102.056061
19.417705,-102.056336
19.417801,-102.056688
19.417883,-102.056967
19.417934,-102.057146
19.418054,-102.057555
19.418179,-102.05797
19.418218,-102.058143
19.418323,-102.05853
19.418512,-102.059238
19.41871,-102.059882
19.418766,-102.060089
19.419019,-102.060979
19.419066,-102.061172
19.419182,-102.061526
19.419333,-102.062002
19.419378,-102.062207
19.419638,-102.062927
19.419676,-102.063042
19.41973,-102.063229
19.419783,-102.063484
19.419928,-102.064058
19.419964,-102.064197
19.420246,-102.064119
19.420742,-102.063978
19.420914,-102.063923
19.420998,-102.063903
19.420907,-102.063578
19.420774,-102.063071
19.420657,-102.062602
19.420441,-102.061909
19.420375,-102.061695
19.420204,-102.06116
19.420079,-102.060792
19.420017,-102.060602
19.419806,-102.059797
19.419745,-102.059589
19.419436,-102.058523
19.419246,-102.057859
19.419193,-102.057683
19.419032,-102.057134
19.418939,-102.056835
19.418885,-102.056635
19.418779,-102.056233
19.418666,-102.055818
19.418622,-102.055645
19.418704,-102.055606
19.418611,-102.055266
19.418559,-102.054999
19.418465,-102.054613
19.418416,-102.054347
19.418343,-102.053981
19.418292,-102.053721
19.41826,-102.053498
19.418228,-102.053125
19.418185,-102.052842
19.418171,-102.052641
19.418128,-102.052331
19.418087,-102.051855
19.418056,-102.051661
19.418013,-102.05113
19.417991,-102.050993
19.417996,-102.050888
19.417996,-102.050848
19.417949,-102.050808
19.4179,-102.050792
19.41787,-102.050762
19.417862,-102.050709
19.417868,-102.050625
19.417902,-102.050564
19.417947,-102.050537
19.417992,-102.050517
19.417988,-102.050369
19.417967,-102.05009
19.417937,-102.049839
19.417935,-102.049754
19.417921,-102.04954
19.417897,-102.049253
19.417853,-102.048863
