Latitude,Longitude
19.430884,-102.043575
19.430777,-102.04366
19.430633,-102.043779
19.43038,-102.043886
19.430179,-102.043951
19.429904,-102.044025
19.429648,-102.044093
19.429465,-102.044115
19.429264,-102.044136
19.42894,-102.044163
19.428782,-102.044175
19.428298,-102.044218
19.428125,-102.044234
19.427633,-102.044295
19.427585,-102.044309
19.4276,-102.044459
19.427645,-102.044899
19.427694,-102.045458
19.427683,-102.045519
19.427413,-102.045539
19.427061,-102.045566
19.426932,-102.045578
19.426661,-102.045598
19.426353,-102.045635
19.426204,-102.045654
19.425661,-102.045728
19.425588,-102.045738
19.425599,-102.045925
19.425627,-102.046361
19.425631,-102.046722
19.425645,-102.046995
19.425694,-102.047522
19.425732,-102.047964
19.425771,-102.048217
19.425597,-102.048346
19.425423,-102.048397
19.425177,-102.048378
19.424841,-102.048252
19.424616,-102.048188
19.424498,-102.048128
19.424486,-102.048055
19.424469,-102.04793
19.424449,-102.047741
19.424438,-102.047592
19.424421,-102.04742
19.424395,-102.047086
19.424385,-102.046846
19.42437,-102.046686
19.424517,-102.046668
19.424922,-102.046626
19.425308,-102.046592
19.425404,-102.046579
19.425395,-102.046236
19.425387,-102.046047
19.425379,-102.045776
19.425379,-102.04562
19.425404,-102.045012
19.425435,-102.044574
19.42547,-102.044335
19.425535,-102.044004
19.425616,-102.043501
19.425656,-102.043333
19.425703,-102.043094
19.425743,-102.042928
19.425845,-102.042534
19.425936,-102.042285
19.426024,-102.041929
19.426111,-102.041665
19.426143,-102.041591
19.426218,-102.041599
19.426338,-102.041169
19.426409,-102.040913
19.426506,-102.040622
19.426618,-102.040277
19.426769,-102.03974
19.426996,-102.039026
19.427082,-102.038693
19.427205,-102.038296
19.427269,-102.038039
19.427375,-102.037668
19.427509,-102.037267
19.427568,-102.037053
19.427355,-102.037009
19.427228,-102.036975
19.427005,-102.036955
19.426588,-102.036896
19.426364,-102.036858
19.426227,-102.036908
19.425687,-102.036805
19.424997,-102.036791
19.424461,-102.036806
19.423766,-102.036817
19.422832,-102.036832
19.422437,-102.03685
19.422079,-102.036838
19.421884,-102.036819
19.421915,-102.036584
19.421934,-102.036323
19.421686,-102.036336
19.42133,-102.036395
19.421216,-102.03641
19.420892,-102.036461
19.420457,-102.036542
19.420276,-102.036571
19.419901,-102.036648
19.419562,-102.036707
19.419441,-102.036732
19.418992,-102.036801
19.418618,-102.036877
19.418297,-102.036935
19.417882,-102.037015
19.41758,-102.03707
19.41711,-102.037145
19.416755,-102.037218
19.4166,-102.037243
19.416245,-102.037277
19.416167,-102.037274
19.416156,-102.036915
19.416147,-102.036679
19.416145,-102.036412
19.416146,-102.036222
19.416142,-102.036034
19.41612,-102.035756
19.416126,-102.035475
19.41612,-102.035275
19.416154,-102.035139
19.416266,-102.034787
19.416354,-102.034534
19.416405,-102.03435
19.416192,-102.034407
19.415925,-102.034473
19.415431,-102.034625
19.415259,-102.034675
19.414949,-102.034771
19.414549,-102.034877
19.414215,-102.034975
19.41377,-102.035108
19.413447,-102.035202
19.41301,-102.035344
19.412769,-102.035412
19.412415,-102.035521
19.411862,-102.035679
19.411793,-102.035702
19.411852,-102.035919
19.411946,-102.036284
19.412051,-102.036663
19.412083,-102.036771
19.412179,-102.037155
19.412248,-102.03747
19.412301,-102.037679
19.412401,-102.037964
19.411958,-102.038098
19.411498,-102.038265
19.41119,-102.03831
19.410781,-102.038415
19.410329,-102.038516
19.409965,-102.038631
19.40956,-102.038722
19.409228,-102.038853
19.409192,-102.038882
19.40922,-102.039043
19.409073,-102.03911
19.408486,-102.039386
19.40817,-102.039539
19.407647,-102.039791
19.407518,-102.039856
19.407649,-102.040143
19.407801,-102.040513
19.407955,-102.040862
19.408111,-102.041228
19.408235,-102.041563
19.408045,-102.041671
19.407517,-102.041891
19.406912,-102.04213
19.406589,-102.042259
19.40583,-102.042568
19.405529,-102.042688
19.405092,-102.042836
19.40457,-102.043036
19.404001,-102.043242
19.403507,-102.043428
19.403091,-102.04359
19.402886,-102.04366
19.403129,-102.04428
19.403301,-102.044698
19.403435,-102.044961
19.403704,-102.045583
19.403405,-102.045653
19.402737,-102.045752
19.402028,-102.045836
19.401291,-102.045936
19.400725,-102.045973
19.400338,-102.045989
19.400042,-102.046008
19.399736,-102.046053
19.399142,-102.046171
19.398666,-102.046281
19.398393,-102.046364
19.398373,-102.046369
19.39844,-102.046558
19.398493,-102.046737
19.39862,-102.047067
19.398671,-102.047202
19.398761,-102.047437
19.398783,-102.047524
19.398863,-102.047856
19.39896,-102.048174
19.399004,-102.048332
19.39905,-102.048545
19.398988,-102.048546
19.398799,-102.048525
19.398554,-102.048498
19.398387,-102.048478
19.398238,-102.048464
19.398039,-102.048439
19.397869,-102.048428
19.39779,-102.048419
19.397541,-102.048399
19.397442,-102.048392
19.397247,-102.048365
19.397132,-102.048358
19.39703,-102.04835
19.396843,-102.048337
19.396661,-102.048325
19.396207,-102.048306
19.39616,-102.0483
19.396102,-102.0483
19.395993,-102.048308
19.39584,-102.048343
19.395749,-102.048377
19.395659,-102.048405
19.3956,-102.048415
19.395379,-102.048447
19.395089,-102.048483
19.394813,-102.048525
19.394468,-102.048563
19.394447,-102.048568
19.394483,-102.048734
19.394505,-102.048815
19.394501,-102.048857
19.394453,-102.048891
19.394172,-102.04894
19.39402,-102.048971
19.393726,-102.049022
19.39348,-102.049053
19.393134,-102.049106
19.392954,-102.049128
19.392903,-102.049145
19.39268,-102.049184
19.392515,-102.049212
19.392297,-102.049252
19.392247,-102.049271
19.392246,-102.049291
19.392255,-102.049329
19.392266,-102.049391
19.392294,-102.049467
19.39232,-102.049498
19.392496,-102.049714
19.392552,-102.049782
19.392695,-102.049957
19.392806,-102.050117
19.392877,-102.05021
19.392989,-102.050616
19.393067,-102.05093
19.393169,-102.051254
19.393285,-102.051631
19.393346,-102.051823
19.393375,-102.051908
19.393416,-102.05209
19.393469,-102.052317
19.393522,-102.052552
19.393605,-102.052925
19.393658,-102.053155
19.393726,-102.053464
19.393732,-102.053511
19.393536,-102.053518
