Latitude,Longitude
19.430238,-102.017759
19.43022,-102.017464
19.430192,-102.017177
19.430187,-102.017
19.430167,-102.016729
19.430147,-102.016496
19.430124,-102.016255
19.430356,-102.01621
19.430852,-102.016167
19.431368,-102.016135
19.431892,-102.016068
19.432327,-102.016044
19.432623,-102.016025
19.432711,-102.016063
19.432825,-102.016184
19.433076,-102.016438
19.433329,-102.016709
19.433528,-102.016929
19.433708,-102.017101
19.433766,-102.017176
19.433913,-102.017216
19.433968,-102.017256
19.433941,-102.017385
19.43389,-102.017484
19.433797,-102.017659
19.433675,-102.017825
19.433533,-102.018037
19.433329,-102.01834
19.433154,-102.018555
19.433023,-102.01874
19.432871,-102.01896
19.432744,-102.019137
19.432663,-102.019273
19.432557,-102.019453
19.432423,-102.019729
19.432345,-102.019864
19.432228,-102.020089
19.432142,-102.020279
19.431975,-102.020582
19.431831,-102.0208
19.431662,-102.020987
19.431533,-102.021121
19.431356,-102.021325
19.431173,-102.021532
19.431007,-102.021733
19.430867,-102.02192
19.430745,-102.022156
19.43071,-102.022239
19.430647,-102.022416
19.430621,-102.022539
19.430614,-102.022625
19.430586,-102.022767
19.43055,-102.022998
19.43051,-102.023095
19.430434,-102.023202
19.430305,-102.023323
19.430174,-102.023459
19.43005,-102.02358
19.429943,-102.023703
19.429835,-102.023856
19.429794,-102.023988
19.429744,-102.024141
19.429733,-102.024253
19.429698,-102.024436
19.42967,-102.024583
19.429663,-102.024717
19.42962,-102.024949
19.429627,-102.025043
19.429956,-102.024986
19.430299,-102.024959
19.430505,-102.024959
19.430907,-102.024939
19.431297,-102.024904
19.431498,-102.024837
19.431564,-102.025089
19.431662,-102.025392
19.431686,-102.025658
19.431652,-102.025859
19.431442,-102.026275
19.43122,-102.026691
19.43105,-102.027072
19.430693,-102.027753
19.430562,-102.02808
19.430314,-102.02878
19.43015,-102.029245
19.429864,-102.030111
19.429664,-102.030688
19.429522,-102.031197
19.429335,-102.031879
19.429219,-102.032386
19.428974,-102.032983
19.428817,-102.033605
19.428625,-102.033583
19.428321,-102.033505
19.427985,-102.033438
19.427889,-102.033409
19.427792,-102.03336
19.427671,-102.033342
