Latitude,Longitude
19.398693,-102.059345
19.398961,-102.05907
19.399008,-102.059041
19.399034,-102.059086
19.399096,-102.059237
19.399348,-102.059791
19.399586,-102.060291
19.399598,-102.060306
19.399618,-102.060294
19.399665,-102.06029
19.399693,-102.0603
19.399716,-102.060317
19.400007,-102.060589
19.400081,-102.060643
19.400357,-102.060843
19.400628,-102.061059
19.400814,-102.061204
19.400931,-102.061272
19.400989,-102.06129
19.401036,-102.061284
19.401095,-102.061268
19.401165,-102.061255
19.40126,-102.061253
19.401322,-102.061259
19.401359,-102.0613
19.401447,-102.061452
19.401533,-102.061457
19.401727,-102.061461
19.401844,-102.061457
19.401949,-102.061446
19.402054,-102.061461
19.402122,-102.061512
19.402319,-102.061796
19.40235,-102.061818
19.402404,-102.061823
19.402457,-102.061883
19.402528,-102.062005
19.40273,-102.062212
19.402905,-102.062394
19.403015,-102.062503
19.403119,-102.062593
19.403204,-102.062672
19.40362,-102.06314
19.4037,-102.063235
19.403839,-102.063423
19.404022,-102.063597
19.404226,-102.063792
19.404548,-102.06405
19.4047,-102.064123
19.404808,-102.064184
19.404865,-102.064234
19.404899,-102.064281
19.404911,-102.064313
19.404938,-102.064274
19.404952,-102.064227
19.404952,-102.064155
19.40495,-102.064121
19.404918,-102.064028
19.404827,-102.063706
19.404731,-102.063421
19.404723,-102.063388
19.404902,-102.062926
19.404978,-102.062731
19.404942,-102.062525
19.404924,-102.062292
19.404947,-102.062182
19.405068,-102.062029
19.405154,-102.061935
19.405205,-102.061823
19.405352,-102.061514
19.40542,-102.061372
19.405612,-102.060897
19.405688,-102.060688
19.405777,-102.060353
19.405891,-102.059985
19.405921,-102.059865
19.406198,-102.060012
19.406426,-102.060173
19.406684,-102.060417
19.406858,-102.060599
19.407228,-102.060822
19.40742,-102.060918
19.407675,-102.060999
19.407865,-102.061144
19.407906,-102.06128
19.407906,-102.061538
19.407885,-102.061881
19.407855,-102.062098
19.407779,-102.062711
19.407749,-102.063255
19.407749,-102.063419
19.407966,-102.063633
