Latitude,Longitude
19.433116,-102.050036
19.432349,-102.050259
19.432013,-102.05035
19.431508,-102.050483
19.430885,-102.050664
19.430358,-102.050826
19.430023,-102.050926
19.429439,-102.051106
19.429096,-102.051209
19.428739,-102.051309
19.428478,-102.051372
19.42824,-102.051437
19.427867,-102.05154
19.427557,-102.051635
19.427109,-102.051759
19.426582,-102.051897
19.426088,-102.052021
19.425975,-102.052026
19.425902,-102.051198
19.425878,-102.051071
19.425471,-102.051116
19.425059,-102.051158
19.424834,-102.051177
19.424481,-102.051221
19.423985,-102.05126
19.423756,-102.051309
19.423448,-102.051384
19.423079,-102.051456
19.422738,-102.051534
19.422453,-102.051601
19.422044,-102.051696
19.421767,-102.051766
19.421505,-102.051817
19.421283,-102.051862
19.420921,-102.051948
19.420635,-102.052022
19.42044,-102.052069
19.420238,-102.052116
19.420232,-102.052174
19.420201,-102.052243
19.420148,-102.052284
19.420069,-102.052311
19.419987,-102.052281
19.419934,-102.052233
19.41991,-102.052188
19.419607,-102.052252
19.419409,-102.052308
19.419191,-102.052364
19.418969,-102.052415
19.418801,-102.052476
19.418576,-102.052523
19.41834,-102.052613
19.418249,-102.052637
19.418163,-102.052711
19.418062,-102.052775
19.41781,-102.05284
19.417676,-102.052881
19.417391,-102.052954
19.417146,-102.053034
19.416957,-102.053082
19.416867,-102.053116
19.416904,-102.053266
19.416978,-102.053517
19.417059,-102.053831
19.417145,-102.054182
19.417234,-102.054551
19.417315,-102.054835
19.417401,-102.055177
19.41749,-102.055546
19.417578,-102.055859
19.417704,-102.056304
19.41781,-102.056685
19.41789,-102.05698
19.418004,-102.057362
19.418066,-102.057569
19.418119,-102.057782
19.418184,-102.057972
19.418256,-102.058243
19.418386,-102.058707
19.418467,-102.059052
19.418576,-102.059385
19.418678,-102.059729
19.418796,-102.060136
19.418868,-102.060447
19.419002,-102.060904
19.419066,-102.061136
19.41923,-102.061662
19.419328,-102.061997
19.419405,-102.062237
19.419486,-102.062464
19.419571,-102.062738
19.419666,-102.063049
19.4197,-102.063156
19.419458,-102.063242
19.419183,-102.063325
19.418894,-102.06343
19.418647,-102.063499
19.418472,-102.063562
19.418261,-102.063628
19.41807,-102.063684
19.417739,-102.063793
19.417636,-102.063824
19.417435,-102.063886
19.417085,-102.06399
19.416761,-102.064095
19.416432,-102.064205
19.416162,-102.064295
19.415871,-102.064391
19.415504,-102.064513
19.415267,-102.06458
19.414911,-102.064722
19.414747,-102.064772
19.414424,-102.064863
19.414167,-102.064946
19.413794,-102.065058
19.413441,-102.06517
19.413188,-102.065255
19.412838,-102.065377
19.412642,-102.06544
19.412449,-102.065512
19.412243,-102.06557
19.411942,-102.065683
19.411782,-102.065739
19.411837,-102.065913
19.411912,-102.06619
19.411972,-102.066394
19.412025,-102.066603
19.412061,-102.066738
19.412119,-102.066923
19.412181,-102.067155
19.412258,-102.067417
19.412302,-102.067566
19.412367,-102.067784
19.412413,-102.067956
19.412475,-102.068161
19.412568,-102.068482
19.412625,-102.068679
19.412678,-102.068854
19.412714,-102.068976
19.412804,-102.069253
19.412826,-102.069332
19.412768,-102.069335
19.412592,-102.069325
19.412523,-102.06932
19.412336,-102.06931
19.412219,-102.069304
19.412114,-102.0693
19.411867,-102.069294
19.411813,-102.069298
19.411681,-102.069327
19.4115,-102.069366
19.411416,-102.069383
19.411241,-102.069408
19.411176,-102.069427
19.411087,-102.06947
19.410985,-102.069517
19.410889,-102.069565
19.410792,-102.069599
19.410645,-102.069653
19.410538,-102.069708
19.410383,-102.069853
19.41027,-102.069999
19.410186,-102.070112
19.41007,-102.070267
19.410065,-102.070293
19.410253,-102.07052
19.410405,-102.070664
19.410636,-102.070795
19.410722,-102.070831
19.41097,-102.070912
19.411239,-102.070984
19.411502,-102.071035
19.411708,-102.071066
19.411905,-102.071148
19.412127,-102.071231
19.412437,-102.071331
19.412474,-102.071467
19.412935,-102.071581
19.413474,-102.07173
19.413985,-102.071874
19.414162,-102.071927
19.414528,-102.07201
19.414784,-102.072087
19.414766,-102.072168
19.414686,-102.072533
19.414675,-102.072627
19.41461,-102.072998
19.414593,-102.073101
19.414512,-102.073489
19.414491,-102.073576
19.414442,-102.073903
19.414397,-102.074185
19.414373,-102.074353
19.414355,-102.074453
19.414314,-102.074766
19.414306,-102.074914
19.414306,-102.075006
19.414322,-102.075112
19.414374,-102.075204
19.414536,-102.075714
19.414584,-102.075975
19.414574,-102.076167
19.41451,-102.076352
19.414419,-102.076492
19.414279,-102.076783
19.414183,-102.076984
19.414018,-102.077298
19.41396,-102.077386
19.413872,-102.077502
19.413746,-102.077712
19.413692,-102.077802
19.413621,-102.077746
19.413792,-102.077466
19.413872,-102.077309
19.413955,-102.077098
19.414065,-102.076906
19.414187,-102.076707
19.414345,-102.076444
19.414436,-102.076295
19.414485,-102.076123
19.414502,-102.075981
19.41448,-102.075823
19.414423,-102.075631
19.414345,-102.075347
19.414316,-102.07518
19.414294,-102.075121
19.414274,-102.074991
