Latitude,Longitude
19.384656,-102.01659
19.384763,-102.016601
19.384846,-102.016641
19.384944,-102.016735
19.385125,-102.016892
19.385248,-102.016956
19.385361,-102.016945
19.385457,-102.016902
19.385573,-102.016839
19.385769,-102.016729
19.385825,-102.016689
19.386065,-102.016573
19.386158,-102.016531
19.386236,-102.016505
19.386363,-102.016538
19.386466,-102.016598
19.386714,-102.01675
19.386853,-102.016831
19.387166,-102.016992
19.38727,-102.017054
19.387472,-102.017155
19.387549,-102.017169
19.3876,-102.017165
19.387654,-102.017147
19.387951,-102.017043
19.38835,-102.016896
19.388607,-102.016796
19.388673,-102.016772
19.388742,-102.016755
19.388869,-102.016729
19.389017,-102.016709
19.389199,-102.016691
19.389676,-102.016618
19.390439,-102.016499
19.390556,-102.01649
19.390778,-102.016619
19.390884,-102.016698
19.390978,-102.016793
19.391017,-102.01688
19.391046,-102.017034
19.391054,-102.017131
19.391112,-102.017528
19.39112,-102.017606
19.391182,-102.018122
19.391264,-102.018772
19.391278,-102.01888
19.391345,-102.019334
19.391365,-102.019617
19.391377,-102.019691
19.391412,-102.019902
19.391495,-102.02014
19.391526,-102.020202
19.39191,-102.021047
19.391939,-102.021121
19.392263,-102.02183
19.392607,-102.021722
19.392726,-102.021691
19.39328,-102.021529
19.393357,-102.021503
19.393835,-102.021391
19.393908,-102.021376
19.394333,-102.021265
19.394441,-102.021227
19.394783,-102.021119
19.394882,-102.021092
19.395321,-102.020972
19.395411,-102.020948
19.396008,-102.020781
19.396063,-102.020773
19.396114,-102.020866
19.396593,-102.021461
19.396643,-102.021524
19.396961,-102.021929
19.39736,-102.022453
19.397433,-102.022559
19.397842,-102.023103
19.397897,-102.023175
19.397967,-102.02328
19.398109,-102.023556
19.398124,-102.023593
19.398353,-102.023479
19.398476,-102.023421
19.39903,-102.023163
19.399172,-102.023083
19.399704,-102.022809
19.399819,-102.022749
19.399894,-102.022812
19.400104,-102.02267
19.400362,-102.022522
19.400579,-102.022388
19.400759,-102.022706
19.400936,-102.02301
19.400969,-102.023056
19.401126,-102.022952
19.401241,-102.022873
19.401385,-102.022785
19.401484,-102.022738
19.401544,-102.022765
19.401591,-102.022814
19.401697,-102.023017
19.401761,-102.023129
19.401911,-102.023365
19.401973,-102.023457
19.402131,-102.023694
19.402183,-102.023772
19.402337,-102.024031
19.402368,-102.024089
19.402577,-102.024493
19.402617,-102.024565
19.402807,-102.024956
19.402839,-102.025032
19.40302,-102.025426
19.403056,-102.025495
19.403217,-102.025849
19.403255,-102.025916
19.403515,-102.026349
19.403538,-102.02637
19.403728,-102.026259
19.403962,-102.026121
19.404013,-102.026168
19.404248,-102.026565
19.404288,-102.026643
19.404463,-102.026999
19.404501,-102.027068
19.404699,-102.027417
19.404733,-102.027483
19.404847,-102.027672
19.404934,-102.027811
19.404955,-102.027843
19.405271,-102.027654
19.405681,-102.027376
19.406059,-102.027121
19.406142,-102.027058
19.40619,-102.02714
19.406518,-102.027694
19.406555,-102.027769
19.406724,-102.028106
19.406748,-102.028144
19.406789,-102.028222
19.406961,-102.028507
19.407058,-102.028653
19.407094,-102.028705
